Datetime,Upstream,Downstream,Body,Actuator,Hyperbaric,Backseat,Spring Chamber,Primary Stem Seal,Secondary Stem Seal,Relief Port,BX Port,Flow Meter,Mass Spectrometer Mantissa,Mass Spectrometer,LVDT,Torque,Number Of Turns,Motor Speed,Ambient Temperature,Body Temperature,Monitor Temperature,Chamber Temperature,Hyperbaric Water Temperature,Close,Open,Cycle Count
01/10/2025 16:23:24.267,-1961596,-1961678,-1960497,-1960257,-1960270,-1959464,-1959963,-1960595,-1960236,-1960169,-1959501,-1952990,0,2,83,-235,0,0,-1968,1372,1372,1372,-186.8,FALSE,FALSE,1
01/10/2025 16:23:24.277,-1961597,-1961677,-1960497,-1960257,-1960270,-1959464,-1959963,-1960595,-1960235,-1960168,-1959501,-1953004,0,13,79,-214,0,0,-1968,1372,1372,1372,-186.8,FALSE,FALSE,1
01/10/2025 16:23:24.287,-1961598,-1961677,-1960498,-1960257,-1960271,-1959465,-1959963,-1960595,-1960235,-1960168,-1959501,-1952992,0,11,67,-220,0,0,-1968,1372,1372,1372,-186.8,FALSE,FALSE,1
01/10/2025 16:23:24.297,-1961597,-1961677,-1960498,-1960258,-1960272,-1959465,-1959961,-1960596,-1960235,-1960168,-1959501,-1953029,0,0,56,-238,0,0,-1968,1372,1372,1372,-186.8,FALSE,FALSE,1
01/10/2025 16:23:24.307,-1961596,-1961677,-1960498,-1960258,-1960272,-1959464,-1959961,-1960597,-1960235,-1960168,-1959500,-1953031,0,18,50,-249,0,0,-1968,1372,1372,1372,-186.8,FALSE,FALSE,1
01/10/2025 16:23:24.317,-1961597,-1961677,-1960498,-1960257,-1960271,-1959464,-1959960,-1960597,-1960236,-1960167,-1959499,-1952978,0,43,55,-226,0,0,-1968,1372,1372,1372,-186.8,FALSE,FALSE,1
01/10/2025 16:23:24.327,-1961596,-1961677,-1960499,-1960257,-1960271,-1959465,-1959960,-1960597,-1960236,-1960167,-1959498,-1952965,0,23,39,-212,0,0,-1968,1372,1372,1372,-186.8,FALSE,FALSE,1
01/10/2025 16:23:24.337,-1961596,-1961676,-1960499,-1960256,-1960271,-1959465,-1959960,-1960596,-1960237,-1960167,-1959497,-1953019,0,13,71,-189,0,0,-1968,1372,1372,1372,-186.8,FALSE,FALSE,1
01/10/2025 16:23:24.347,-1961596,-1961677,-1960498,-1960257,-1960270,-1959464,-1959960,-1960595,-1960238,-1960167,-1959497,-1953018,0,13,110,-178,0,0,-1968,1372,1372,1372,-186.8,FALSE,FALSE,1
01/10/2025 16:23:24.357,-1961596,-1961677,-1960499,-1960257,-1960269,-1959464,-1959961,-1960594,-1960239,-1960167,-1959497,-1953045,0,24,87,-224,0,0,-1967,1372,1372,1372,-186.7,FALSE,FALSE,1
